Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
Article,Fully forward mode training for optical neural networks,"We present fully forward mode learning, which conducts machine learning operations on site, leading to faster learning and promoting advancement in numerous fields.","Zhiwei Xue, Tiankuang Zhou, Lu Fang",07-Aug-24,fully forward mode training for optical neural networks,"['fully', 'forward', 'mode', 'training', 'for', 'optical', 'neural', 'networks']","['fully', 'forward', 'mode', 'training', 'optical', 'neural', 'networks']","['fulli', 'forward', 'mode', 'train', 'optic', 'neural', 'network']","['fully', 'forward', 'mode', 'training', 'optical', 'neural', 'network']"
Article,Molecular mimicry in multisystem inflammatory syndrome in children,A cross-reactive antibody and T cell response is identified in a large portion of patients with multisystem inflammatory syndrome in children.,"Aaron Bodansky, Robert C. Mettelman, Joseph L. DeRisi",07-Aug-24,molecular mimicry in multisystem inflammatory syndrome in children,"['molecular', 'mimicry', 'in', 'multisystem', 'inflammatory', 'syndrome', 'in', 'children']","['molecular', 'mimicry', 'multisystem', 'inflammatory', 'syndrome', 'children']","['molecular', 'mimicri', 'multisystem', 'inflammatori', 'syndrom', 'children']","['molecular', 'mimicry', 'multisystem', 'inflammatory', 'syndrome', 'child']"
Article,A spatial expression atlas of the adult human proximal small intestine,"A comprehensive spatial expression atlas of the adult human proximal small intestine reveals branched villi, immune activation at the villus tip, and a switch of migrating enterocytes from lipid droplet assembly and iron uptake at the villus bottom to chylomicron biosynthesis and iron release at the tip.","Yotam Harnik, Oran Yakubovsky, Shalev Itzkovitz",07-Aug-24,a spatial expression atlas of the adult human proximal small intestine,"['a', 'spatial', 'expression', 'atlas', 'of', 'the', 'adult', 'human', 'proximal', 'small', 'intestine']","['spatial', 'expression', 'atlas', 'adult', 'human', 'proximal', 'small', 'intestine']","['spatial', 'express', 'atla', 'adult', 'human', 'proxim', 'small', 'intestin']","['spatial', 'expression', 'atlas', 'adult', 'human', 'proximal', 'small', 'intestine']"
Article,ILC2-derived LIF licences progress from tissue to systemic immunity,"Disruption of leukaemia inhibitory factor production from group 2 innate lymphoid cells prevents immune cells leaving the lungs to migrate to lymph nodes, leading to plasmacytoid dendritic cells becoming retained in the lungs following viral infection.","Mayuri Gogoi, Paula A. Clark, Andrew N. J. McKenzie",07-Aug-24,ilc2derived lif licences progress from tissue to systemic immunity,"['ilc2derived', 'lif', 'licences', 'progress', 'from', 'tissue', 'to', 'systemic', 'immunity']","['ilc2derived', 'lif', 'licences', 'progress', 'tissue', 'systemic', 'immunity']","['ilc2deriv', 'lif', 'licenc', 'progress', 'tissu', 'system', 'immun']","['ilc2derived', 'lif', 'licence', 'progress', 'tissue', 'systemic', 'immunity']"
Nature Podcast,Where weird plants thrive: aridity spurs diversity of traits,"As environments get more dry, plant species numbers drop, but the number of traits increase — plus, what the hottest temperatures for centuries mean for the Great Barrier Reef.","Nick Petrić Howe, Emily Bates",07-Aug-24,where weird plants thrive aridity spurs diversity of traits,"['where', 'weird', 'plants', 'thrive', 'aridity', 'spurs', 'diversity', 'of', 'traits']","['weird', 'plants', 'thrive', 'aridity', 'spurs', 'diversity', 'traits']","['weird', 'plant', 'thrive', 'arid', 'spur', 'divers', 'trait']","['weird', 'plant', 'thrive', 'aridity', 'spur', 'diversity', 'trait']"
Career Feature,Scientists are falling victim to deepfake AI video scams — here’s how to fight back,"Cybercriminals are increasingly singling out researchers, alongside politicians and celebrities. Targeted scientists share tips on how to silence them.",Linda Nordling,07-Aug-24,scientists are falling victim to deepfake ai video scams  here is how to fight back,"['scientists', 'are', 'falling', 'victim', 'to', 'deepfake', 'ai', 'video', 'scams', 'here', 'is', 'how', 'to', 'fight', 'back']","['scientists', 'falling', 'victim', 'deepfake', 'ai', 'video', 'scams', 'fight', 'back']","['scientist', 'fall', 'victim', 'deepfak', 'ai', 'video', 'scam', 'fight', 'back']","['scientist', 'falling', 'victim', 'deepfake', 'ai', 'video', 'scam', 'fight', 'back']"
Research Briefing,DNA strands show symmetry in damage tolerance but asymmetries in repair efficiency,"The two strands of DNA, although chemically equivalent, are replicated and repaired asymmetrically. Insights into the persistence of DNA damage show how strand-specific interactions shape the genome-wide distribution of mutations, including the unexpected symmetry of mutations arising in the DNA strands during replication.","N, /, A",07-Aug-24,dna strands show symmetry in damage tolerance but asymmetries in repair efficiency,"['dna', 'strands', 'show', 'symmetry', 'in', 'damage', 'tolerance', 'but', 'asymmetries', 'in', 'repair', 'efficiency']","['dna', 'strands', 'show', 'symmetry', 'damage', 'tolerance', 'asymmetries', 'repair', 'efficiency']","['dna', 'strand', 'show', 'symmetri', 'damag', 'toler', 'asymmetri', 'repair', 'effici']","['dna', 'strand', 'show', 'symmetry', 'damage', 'tolerance', 'asymmetry', 'repair', 'efficiency']"
News & Views,Protein droplets spread to seal tight junctions,Cells that form tissue barriers rely on cell–cell contacts called tight junctions. These structures assemble from protein condensates that spread along the cell membrane like a water droplet spreading over glass.,Alexander Ludwig,07-Aug-24,protein droplets spread to seal tight junctions,"['protein', 'droplets', 'spread', 'to', 'seal', 'tight', 'junctions']","['protein', 'droplets', 'spread', 'seal', 'tight', 'junctions']","['protein', 'droplet', 'spread', 'seal', 'tight', 'junction']","['protein', 'droplet', 'spread', 'seal', 'tight', 'junction']"
Research Briefing,Neural circuit underlying asthma reinforces the lung’s role as a sensory organ,"Molecular, anatomical and functional evidence point to a multi-nodal neural circuit that senses allergenic particles in inhaled air and induces exaggerated airway constriction, a hallmark of asthma. This is the first description of a full circuit that starts in the lung and returns to control lung function.","N, /, A",07-Aug-24,neural circuit underlying asthma reinforces the lungs role as a sensory organ,"['neural', 'circuit', 'underlying', 'asthma', 'reinforces', 'the', 'lungs', 'role', 'as', 'a', 'sensory', 'organ']","['neural', 'circuit', 'underlying', 'asthma', 'reinforces', 'lungs', 'role', 'sensory', 'organ']","['neural', 'circuit', 'underli', 'asthma', 'reinforc', 'lung', 'role', 'sensori', 'organ']","['neural', 'circuit', 'underlying', 'asthma', 'reinforces', 'lung', 'role', 'sensory', 'organ']"
News Feature,From Vikings to Beethoven: what your DNA says about your ancient relatives,Scientists are using consumer-genomics databases to link living people to ancestors from the recent and not-so-recent past. But the meaning of these connections isn’t always clear.,Ewen Callaway,07-Aug-24,from vikings to beethoven what your dna says about your ancient relatives,"['from', 'vikings', 'to', 'beethoven', 'what', 'your', 'dna', 'says', 'about', 'your', 'ancient', 'relatives']","['vikings', 'beethoven', 'dna', 'says', 'ancient', 'relatives']","['vike', 'beethoven', 'dna', 'say', 'ancient', 'rel']","['viking', 'beethoven', 'dna', 'say', 'ancient', 'relative']"
News & Views,Coral giants sound the alarm for the Great Barrier Reef,"Ocean warming has repeatedly led to mass coral bleaching on the Great Barrier Reef in the past 20 years, threatening its existence. Coral skeletons show that reef temperatures reached historical highs during this period.",Miriam Pfeiffer,07-Aug-24,coral giants sound the alarm for the great barrier reef,"['coral', 'giants', 'sound', 'the', 'alarm', 'for', 'the', 'great', 'barrier', 'reef']","['coral', 'giants', 'sound', 'alarm', 'great', 'barrier', 'reef']","['coral', 'giant', 'sound', 'alarm', 'great', 'barrier', 'reef']","['coral', 'giant', 'sound', 'alarm', 'great', 'barrier', 'reef']"
News & Views,Physics solves a training problem for artificial neural networks,"Systems that emulate biological neural networks offer an efficient way of running AI algorithms, but they can’t be trained using the conventional approach. The symmetry of these ‘physical’ networks provides a neat solution.",Damien Querlioz,07-Aug-24,physics solves a training problem for artificial neural networks,"['physics', 'solves', 'a', 'training', 'problem', 'for', 'artificial', 'neural', 'networks']","['physics', 'solves', 'training', 'problem', 'artificial', 'neural', 'networks']","['physic', 'solv', 'train', 'problem', 'artifici', 'neural', 'network']","['physic', 'solves', 'training', 'problem', 'artificial', 'neural', 'network']"
News,Great Barrier Reef’s temperature soars to 400-year high,Chemical analysis of coral skeletons reveals unprecedented warming trend that could spell disaster for the iconic reef.,Jeff Tollefson,07-Aug-24,great barrier reefs temperature soars to 400year high,"['great', 'barrier', 'reefs', 'temperature', 'soars', 'to', '400year', 'high']","['great', 'barrier', 'reefs', 'temperature', 'soars', '400year', 'high']","['great', 'barrier', 'reef', 'temperatur', 'soar', '400year', 'high']","['great', 'barrier', 'reef', 'temperature', 'soar', '400year', 'high']"
News & Views,Structures of the dopamine transporter point to ways to target addiction and disease,Three studies of the human dopamine transporter reveal how it binds to molecules such as dopamine and cocaine. Dopamine imbalances underlie some brain conditions and these data will aid targeted drug design.,Harald H. Sitte,07-Aug-24,structures of the dopamine transporter point to ways to target addiction and disease,"['structures', 'of', 'the', 'dopamine', 'transporter', 'point', 'to', 'ways', 'to', 'target', 'addiction', 'and', 'disease']","['structures', 'dopamine', 'transporter', 'point', 'ways', 'target', 'addiction', 'disease']","['structur', 'dopamin', 'transport', 'point', 'way', 'target', 'addict', 'diseas']","['structure', 'dopamine', 'transporter', 'point', 'way', 'target', 'addiction', 'disease']"
News,Breast-cancer cells enlist nerves to spread throughout the body,"Surprising results show that ‘sensory’ nerves, which carry information to the brain, have a direct role in helping tumours to metastasize.",Heidi Ledford,07-Aug-24,breastcancer cells enlist nerves to spread throughout the body,"['breastcancer', 'cells', 'enlist', 'nerves', 'to', 'spread', 'throughout', 'the', 'body']","['breastcancer', 'cells', 'enlist', 'nerves', 'spread', 'throughout', 'body']","['breastcanc', 'cell', 'enlist', 'nerv', 'spread', 'throughout', 'bodi']","['breastcancer', 'cell', 'enlist', 'nerve', 'spread', 'throughout', 'body']"
News,T. rexrelative found in Thailand: why local researchers are excited,Scientists hope the discovery will inspire more palaeontologists from southeast Asia to explore the region’s fossil history.,Dyna Rochmyaningsih,07-Aug-24,t rexrelative found in thailand why local researchers are excited,"['t', 'rexrelative', 'found', 'in', 'thailand', 'why', 'local', 'researchers', 'are', 'excited']","['rexrelative', 'found', 'thailand', 'local', 'researchers', 'excited']","['rexrel', 'found', 'thailand', 'local', 'research', 'excit']","['rexrelative', 'found', 'thailand', 'local', 'researcher', 'excited']"
Research Briefing,Airway hillocks can withstand injury and protect specialized stem cells,"Airway hillocks were identified in 2018. These barrier structures in the mammalian airway are composed of tightly interlocking flat cells that shield an underlying population of highly regenerative and specialized stem cells. Remarkably, hillocks seem to resist all major forms of environmental damage, ranging from toxic substances and acid to infection.","N, /, A",07-Aug-24,airway hillocks can withstand injury and protect specialized stem cells,"['airway', 'hillocks', 'can', 'withstand', 'injury', 'and', 'protect', 'specialized', 'stem', 'cells']","['airway', 'hillocks', 'withstand', 'injury', 'protect', 'specialized', 'stem', 'cells']","['airway', 'hillock', 'withstand', 'injuri', 'protect', 'special', 'stem', 'cell']","['airway', 'hillock', 'withstand', 'injury', 'protect', 'specialized', 'stem', 'cell']"
Futures,Day tripper,A holiday to remember.,Jon Zatorski,07-Aug-24,day tripper,"['day', 'tripper']","['day', 'tripper']","['day', 'tripper']","['day', 'tripper']"
Technology Feature,A publishing platform that places code front and centre,Curvenote creates interactive publications based on digital-coding notebooks and aims to increase the transparency and reproducibility of data science.,Amanda Heidt,07-Aug-24,a publishing platform that places code front and centre,"['a', 'publishing', 'platform', 'that', 'places', 'code', 'front', 'and', 'centre']","['publishing', 'platform', 'places', 'code', 'front', 'centre']","['publish', 'platform', 'place', 'code', 'front', 'centr']","['publishing', 'platform', 'place', 'code', 'front', 'centre']"
News,Camera-carrying sea lions map uncharted areas of the ocean,Sensors mounted on the animals’ backs gather data on unexplored sea floor habitats.,Helena Kudiabor,07-Aug-24,cameracarrying sea lions map uncharted areas of the ocean,"['cameracarrying', 'sea', 'lions', 'map', 'uncharted', 'areas', 'of', 'the', 'ocean']","['cameracarrying', 'sea', 'lions', 'map', 'uncharted', 'areas', 'ocean']","['cameracarri', 'sea', 'lion', 'map', 'unchart', 'area', 'ocean']","['cameracarrying', 'sea', 'lion', 'map', 'uncharted', 'area', 'ocean']"
